Unnamed: 0,member,XP,memberID,level
,fwiz#6999,4000,247292930346319872,4
,A Lonely Turtle#1546,2720,477034228366966785,2
,Moogs#2009,430,361158149371199488,0
,Dutchy#6127,1480,171539705043615744,1
,Soheab_#5757,630,150665783268212746,0
,AG#7863,2500,355658987372281856,2
,Zorkai#9999,10,464910933660008451,0
,Cinnamon#0714,70,455289384187592704,0
,Nyx#8614,10,270848136006729728,0
,Raz#8302,10,251412743230324736,0
,IAmTomahawkx#1000,230,547861735391100931,0
,gogurt enjoyer#8035,10,198233322080567296,0
,Marvin#9972,10,293468815130492928,0
,defracted#8618,3760,576322791129743361,3
,Hoyin#1463,60,398035250648711169,0
,class Erase#0027,1600,635971624406876170,1
,Verify.#6971,1460,297961554673008641,1
,□ | The Cosmos#7777,250,331793750273687553,0
,sszymoon#7106,340,459638681398018048,0
,Nikithn#2989,30,380008545321746432,0
,Augustus#3346,30,562273132153405440,0
,Ferret#0002,0,359038724161667072,1
,Epic#6666,20,397745647723216898,0
,Glaud#0283,10,290537253850054658,0
,dareal#2231,3670,433293211436580874,3
,M1st#3083,310,259010640675340289,0
,anu#1337,140,215859564900253696,0
,Reacher#1337,60,443476962871214090,0
,Death GOD 7#2255,20,379246165268627458,0
,mischievousdev#0001,1770,675261346669002752,1
,Eviee#0666,40,402159684724719617,0
,large passenger-carrying vehicle#0268,100,245559087524216832,0
,Lorenzo#6154,250,371741730455814145,0
,Moksej#3335,360,345457928972533773,0
,Pepperoni#3700,20,706357388072189983,0
,ThePaperMan ۩#0852,220,629047171844407296,0
,EppyPrime™#1461,20,611108193275478018,0
,PaxxPatriot#2666,60,217021666562146304,0
,AliTheKing#9129,1660,579298652938305551,1
,Luci#2468,190,506153885279191050,0
,mdash#0001,30,213947970809364481,0
,MrOrange9_JCT#3363,710,449992158729076746,0
,Shahriyar#9770,1140,696939596667158579,1
,Azellax#6969,100,228895251576782858,0
,Сосо Νinjа#6932,190,684885364757758086,0
,Umbra#0009,130,155863164544614402,0
,Music#9755,0,255745554078892032,1
,Look At Me#8623,0,234848703368658944,1
,Ava#4982,70,396290259907903491,0
,Orangutan#9393,90,150750980097441792,0
,Dann#8645,20,293555442670370817,0
,IDRALOU#3067,10,666755948244893716,0
,RocketRace#0798,80,156021301654454272,0
,Mortilus#7915,20,569813553201283082,0
,Gobot1234#2435,0,340869611903909888,1
,numbermaniac#6190,20,266845673176039424,0
,Sebastiano#3151,1240,488398758812319745,1
,Stick-Figure#9430,10,628208920325914634,0
,well in that case#0082,700,700091773695033505,0
,Puncher#1111,10,305354423801217025,0
,Tomo#1618,0,325596713358458891,1
,Kaylynn#4444,0,636797375184240640,1
,Cy#2501,200,354316246759636992,0
,Eugene#3778,680,253384991940149249,0
,matmen#9984,340,687945863053443190,0
,peanut#7343,2150,574870314928832533,2
,Duck#0001,0,177013970895503360,1
