Unnamed: 0,member,XP,memberID,level
,El Chapo#9602,0,685093142261006342,1
,nezuko#7368,1970,577140178791956500,1
,fwiz#6999,2220,247292930346319872,2
,R. Danny#6348,180,80528701850124288,0
,fraz#6840,20,406634590325964801,0
,Tortoise#3078,550,604230021594480650,0
,ɦօռɛʏքօօք#0099,40,580040383883378710,0
,Eloni#0003,20,672256031946047528,0
,A.#7658,240,266885361605672960,0
,Xaηdεя#0614,460,325137075051560962,0
,acekandish#9228,40,468817998975598592,0
,cappe987#6820,330,156852625231314944,0
,BrainDead#6105,410,197918569894379520,0
,Pluriscient#2451,170,131474815298174976,0
,ahmetlehat#3418,10,693488269198884937,0
,Factsforlivin YT#3918,80,231631699337805826,0
,aullikanr#7191,250,541514507009392691,0
,! andrew#8159,40,466861191931756544,0
,Asyrmos Lorier#7981,430,711950283525062716,0
,jolly_jokester#1327,2050,612349409736392928,2
,welkenburg#5008,60,545176988906946561,0
,Weeb#9696,0,424925698801795082,1
,Asyrmos#7981,430,711950283525062716,0
,TheDogPerson#0614,0,325137075051560962,1
,유키#0656,160,475046727141949468,0
,I aM bRoKe#6533,130,544982541694795796,0
,sheela07#9462,10,712023573958492178,0
,Krunal#2100,0,356105865658630144,1
,Jonathan.K#3340,0,507135604430077953,1
,ritsu#7368,1970,577140178791956500,1
,ٴٴٴٴٴٴٴٴٴٴ#1692,10,703504493341311419,0
,Plaze#0448,0,435987025645010944,1
,ʄօօɢɛʟɖօօʟɛ#0099,40,580040383883378710,0
,hematogender#3050,30,586891200074874899,0
,Christo#9916,100,147049615277948928,0
,Crambor#4137,150,212241077695021056,0
,Gauch0 '#6062,0,346210995997376512,1
,Eltro#4304,50,156977418970595328,0
,Uzumaki#2924,50,597832151286677515,0
,Kluczmen#4135,100,290525933297991691,0
,Willmaster04#7968,30,251029342187028491,0
,Tron#2610,0,389084425566289930,1
,Req#0186,0,213515546409435137,1
,LilDarkiePassedAway#6900,0,539579550494097408,1
,Eloni#8617,20,709923651289612318,0
,Techie_♤𝓓𝓲𝓫 ♤_#6383,240,615942459943288843,0
,Glodan#5704,90,692757146206732358,0
,takken#1650,0,688087498764713999,1
,Perrin Aybara#8011,20,549715799951278080,0
,saloodpeepo#8687,20,303049066525491201,0
,Amede (Ameda) a.k Cometa#0954,10,251429262924578816,0
,bram03#0078,110,530344726097035264,0
,Koopla#0598,10,157692010822631424,0
,Sherlock_Holmes#8341,10,682867292379545621,0
,!roykeem#7096,0,109455035603124224,1
,Major Mathy T#9697,50,399075999213551617,0
,Vallas25#8074,0,324442559306792960,1
,lucas34#9322,60,394589803376672770,0
,j4v3l#4134,0,365258576739958784,1
,`Albala!?#0001,70,343793233815535626,0
